	supersense_category	
noun.Tops	316	0.80%
noun.act	1330	3.38%
noun.animal	549	1.39%
noun.artifact	3648	9.26%
noun.attribute	1301	3.30%
noun.body	607	1.54%
noun.cognition	1684	4.28%
noun.communication	2085	5.29%
noun.event	570	1.45%
noun.feeling	507	1.29%
noun.food	80	0.20%
noun.group	903	2.29%
noun.location	2573	6.53%
noun.motive	32	0.08%
noun.object	1480	3.76%
noun.person	2723	6.91%
noun.phenomenon	290	0.74%
noun.plant	206	0.52%
noun.possession	64	0.16%
noun.process	88	0.22%
noun.quantity	439	1.11%
noun.relation	149	0.38%
noun.shape	136	0.35%
noun.state	929	2.36%
noun.substance	821	2.08%
noun.time	1140	2.89%
verb.body	170	0.43%
verb.change	1241	3.15%
verb.cognition	1584	4.02%
verb.communication	1898	4.82%
verb.competition	65	0.17%
verb.consumption	144	0.37%
verb.contact	834	2.12%
verb.creation	405	1.03%
verb.emotion	454	1.15%
verb.motion	1558	3.96%
verb.perception	1403	3.56%
verb.possession	609	1.55%
verb.social	788	2.00%
verb.stative	3572	9.07%
verb.weather	7	0.02%
